year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
2014,0.6916666666666667,0.40973968767772295,0.7823529411764706,25,window,1316,240,50.0,85.0
2015,0.6846846846846847,0.357669954850433,0.78125,25,window,1382,222,50.0,85.59
2016,0.7074829931972789,0.42003633448576616,0.7922705314009663,25,window,1446,294,50.0,82.99
2017,0.8110599078341014,0.5132685249215729,0.8797653958944281,25,window,1524,434,50.0,86.41
2018,0.726063829787234,0.4481232958163062,0.8144144144144144,25,window,1628,376,50.0,86.97
2019,0.6994047619047619,0.31057054453405686,0.8007889546351085,25,window,1698,336,50.0,87.5
1978,0.3333333333333333,0.0,0.0,30,window,4,3,50.0,66.67
1979,1.0,0.0,1.0,30,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,30,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,30,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,30,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,30,window,26,7,50.0,71.43
1984,0.8,0.0,0.888888888888889,30,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,30,window,34,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,30,window,36,7,50.0,57.14
2020,0.6131386861313869,0.33062377294374873,0.7210526315789474,25,window,1754,274,50.0,87.96
1987,0.6,0.0,0.7499999999999999,30,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,30,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,30,window,64,15,50.0,80.0
1990,0.875,0.0,0.9333333333333333,30,window,70,8,50.0,100.0
1991,0.5416666666666666,0.0,0.7027027027027027,30,window,70,24,50.0,54.17
1992,0.6956521739130435,0.0,0.8205128205128205,30,window,92,23,50.0,69.57
2021,0.7207977207977208,0.3871949801478786,0.8191881918819188,25,window,1806,351,50.0,90.6
1993,0.5333333333333333,0.0,0.6956521739130436,30,window,106,30,50.0,53.33
