year,accuracy,MCC,F1,alpha,window,method,training_size,test_size,train_distribution,test_distribution
2004,0.8038277511961722,0.3893716898343921,0.880466472303207,5,15,window,468,209,50.0,88.52
2005,0.8309037900874635,0.22631734314311014,0.9039735099337748,5,15,window,510,343,50.0,92.13
2006,0.8591065292096219,0.33842498715288605,0.9208494208494209,5,15,window,564,582,50.0,93.81
2007,0.7882960413080895,0.34219781714604647,0.8733264675592174,5,15,window,614,581,50.0,92.43
1969,0,0,0,5,20,window,0,1,nan,0.0
1970,0,0,0,5,20,window,0,1,nan,0.0
1971,0,0,0,5,20,window,0,1,nan,0.0
1972,0,0,0,5,20,window,0,0,nan,nan
1973,0,0,0,5,20,window,0,0,nan,nan
1974,0,0,0,5,20,window,0,0,nan,nan
1975,0,0,0,5,20,window,0,1,nan,100.0
1976,0.16666666666666666,0.0,0.2857142857142857,5,20,window,2,6,50.0,16.67
1977,0,0,0,5,20,window,4,0,50.0,nan
2008,0.787085514834206,0.3047050037873307,0.8742268041237115,5,15,window,688,573,50.0,93.72
1978,0.6666666666666666,0.0,0.8,5,20,window,4,3,50.0,66.67
1979,1.0,0.0,1.0,5,20,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,20,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,20,window,16,2,50.0,50.0
2009,0.6784,0.21939403729870444,0.7951070336391438,5,15,window,732,625,50.0,92.48
1982,0.8333333333333334,0.0,0.9090909090909091,5,20,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,20,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,5,20,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,5,20,window,34,4,50.0,75.0
2010,0.6843033509700176,0.27196505531250487,0.7930635838150288,5,15,window,798,567,50.0,89.42
1986,0.5714285714285714,0.0,0.7272727272727273,5,20,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,5,20,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,20,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,5,20,window,62,15,50.0,80.0
1990,1.0,0.0,1.0,5,20,window,66,8,50.0,100.0
1991,0.5,-0.19180536399919287,0.6666666666666667,5,20,window,64,24,50.0,54.17
2011,0.5773420479302832,0.28452597172046973,0.6870967741935484,5,15,window,904,459,50.0,87.36
1992,0.782608695652174,0.4443938593811115,0.8571428571428572,5,20,window,84,23,50.0,69.57
1993,0.5333333333333333,0.017857142857142856,0.6818181818181818,5,20,window,98,30,50.0,53.33
2012,0.5572289156626506,0.31532666859910263,0.649164677804296,5,15,window,986,332,50.0,84.34
1994,0.5882352941176471,0.08299250027587322,0.7083333333333333,5,20,window,126,34,50.0,58.82
1995,0.42857142857142855,-0.2041241452319315,0.5384615384615384,5,20,window,154,21,50.0,66.67
1996,0.4,-0.21004201260420147,0.4615384615384615,5,20,window,168,35,50.0,51.43
2013,0.6194968553459119,0.34618818826443776,0.7243735763097949,5,15,window,1056,318,50.0,87.42
1997,0.6363636363636364,0.31482135743958545,0.6521739130434783,5,20,window,192,44,50.0,61.36
1998,0.6666666666666666,0.07839016375110304,0.7816091954022988,5,20,window,226,57,50.0,75.44
2014,0.5416666666666666,0.30150284778205844,0.6357615894039735,5,15,window,1108,240,50.0,85.0
1999,0.74,-0.01281577413514654,0.8470588235294119,5,20,window,252,50,50.0,88.0
2015,0.545045045045045,0.29646646999078885,0.6431095406360424,5,15,window,1168,222,50.0,85.59
2000,0.5833333333333334,0.2118128051888567,0.6621621621621621,5,20,window,264,120,50.0,75.0
2016,0.5612244897959183,0.3363987623197511,0.6446280991735537,5,15,window,1172,294,50.0,82.99
2001,0.5419847328244275,0.205780470210063,0.5652173913043479,5,20,window,322,131,50.0,68.7
2002,0.6687898089171974,0.3206216859518089,0.7547169811320755,5,20,window,402,157,50.0,78.34
2017,0.7096774193548387,0.4416856028132583,0.7993630573248408,5,15,window,1190,434,50.0,86.41
2018,0.601063829787234,0.3531743508305963,0.7035573122529644,5,15,window,1240,376,50.0,86.97
2003,0.8177339901477833,0.4182333645564024,0.8908554572271387,5,20,window,468,203,50.0,90.64
2019,0.5803571428571429,0.30415821664086024,0.6887417218543048,5,15,window,1300,336,50.0,87.5
2004,0.7990430622009569,0.4259208091141789,0.8757396449704142,5,20,window,502,209,50.0,88.52
2020,0.42700729927007297,0.22611239982645234,0.5198776758409785,5,15,window,1336,274,50.0,87.96
2005,0.8250728862973761,0.23969864931847495,0.9,5,20,window,546,343,50.0,92.13
2021,0.5641025641025641,0.2713470121222851,0.6858316221765914,5,15,window,1348,351,50.0,90.6
2006,0.8539518900343642,0.3583445966425907,0.9173955296404276,5,20,window,598,582,50.0,93.81
1969,0,0,0,5,25,window,0,1,nan,0.0
1970,0,0,0,5,25,window,0,1,nan,0.0
1971,0,0,0,5,25,window,0,1,nan,0.0
1972,0,0,0,5,25,window,0,0,nan,nan
2007,0.8175559380378657,0.3658332465462834,0.892929292929293,5,20,window,664,581,50.0,92.43
1973,0,0,0,5,25,window,0,0,nan,nan
1974,0,0,0,5,25,window,0,0,nan,nan
1975,0,0,0,5,25,window,0,1,nan,100.0
1977,0,0,0,5,25,window,4,0,50.0,nan
1978,0.6666666666666666,0.0,0.8,5,25,window,4,3,50.0,66.67
1976,0.16666666666666666,0.0,0.2857142857142857,5,25,window,2,6,50.0,16.67
2008,0.7783595113438045,0.2959524602855281,0.8683937823834197,5,20,window,740,573,50.0,93.72
1979,1.0,0.0,1.0,5,25,window,8,2,50.0,100.0
1980,0.3333333333333333,-0.5,0.5,5,25,window,12,3,50.0,66.67
2009,0.688,0.22653918967709277,0.8024316109422491,5,20,window,802,625,50.0,92.48
1981,0.5,0.0,0.6666666666666666,5,25,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,5,25,window,18,6,50.0,83.33
2010,0.673721340388007,0.27174789300128793,0.7841306884480747,5,20,window,890,567,50.0,89.42
1983,0.7142857142857143,0.0,0.8333333333333333,5,25,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,5,25,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,5,25,window,34,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,5,25,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,5,25,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,25,window,54,7,50.0,28.57
1989,0.7333333333333333,-0.1336306209562122,0.8461538461538461,5,25,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,5,25,window,70,8,50.0,100.0
1991,0.5,-0.19180536399919287,0.6666666666666667,5,25,window,70,24,50.0,54.17
2011,0.6122004357298475,0.2623413633584362,0.7244582043343653,5,20,window,1010,459,50.0,87.36
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,5,25,window,92,23,50.0,69.57
1993,0.6,0.1913829539560278,0.6842105263157896,5,25,window,106,30,50.0,53.33
1994,0.5,-0.09561828874675149,0.6222222222222222,5,25,window,132,34,50.0,58.82
2012,0.5993975903614458,0.33683013359872893,0.6942528735632184,5,20,window,1104,332,50.0,84.34
1995,0.38095238095238093,-0.26967994498529685,0.4799999999999999,5,25,window,158,21,50.0,66.67
1996,0.45714285714285713,-0.08852506597852129,0.4864864864864865,5,25,window,170,35,50.0,51.43
2013,0.6226415094339622,0.34860852812348675,0.7272727272727272,5,20,window,1194,318,50.0,87.42
1997,0.6363636363636364,0.26972662163116107,0.68,5,25,window,202,44,50.0,61.36
1998,0.631578947368421,-0.018745473940481164,0.7586206896551724,5,25,window,236,57,50.0,75.44
1999,0.64,0.010555008273018727,0.7692307692307693,5,25,window,264,50,50.0,88.0
2014,0.55,0.3076976944152481,0.6447368421052632,5,20,window,1246,240,50.0,85.0
2000,0.5916666666666667,0.050168346414639395,0.7065868263473054,5,25,window,276,120,50.0,75.0
2015,0.536036036036036,0.27047296432808937,0.6360424028268551,5,20,window,1290,222,50.0,85.59
2001,0.7557251908396947,0.4739564791640252,0.8117647058823529,5,25,window,336,131,50.0,68.7
2016,0.5782312925170068,0.34994713615411516,0.6630434782608696,5,20,window,1340,294,50.0,82.99
2002,0.6496815286624203,0.26544801318751865,0.7417840375586855,5,25,window,408,157,50.0,78.34
2003,0.8226600985221675,0.39854499060618126,0.8947368421052633,5,25,window,476,203,50.0,90.64
2004,0.7942583732057417,0.4409353504827428,0.8716417910447761,5,25,window,512,209,50.0,88.52
2017,0.7050691244239631,0.4373104766928794,0.7955271565495207,5,20,window,1406,434,50.0,86.41
2005,0.8192419825072886,0.23211351123156196,0.8963210702341138,5,25,window,560,343,50.0,92.13
2021,0.5584045584045584,0.26780402502850414,0.6804123711340206,5,20,window,1638,351,50.0,90.6
2006,0.8487972508591065,0.33684018536059296,0.914396887159533,5,25,window,612,582,50.0,93.81
2018,0.6063829787234043,0.35713516491942576,0.7086614173228348,5,20,window,1490,376,50.0,86.97
2019,0.5833333333333334,0.3200374340621563,0.6902654867256638,5,20,window,1560,336,50.0,87.5
2007,0.8037865748709122,0.3374794027942847,0.8841463414634146,5,25,window,682,581,50.0,92.43
1969,0,0,0,5,30,window,0,1,nan,0.0
1970,0,0,0,5,30,window,0,1,nan,0.0
1971,0,0,0,5,30,window,0,1,nan,0.0
1972,0,0,0,5,30,window,0,0,nan,nan
1973,0,0,0,5,30,window,0,0,nan,nan
1974,0,0,0,5,30,window,0,0,nan,nan
2020,0.4416058394160584,0.23492229257475197,0.5377643504531723,5,20,window,1632,274,50.0,87.96
1975,0,0,0,5,30,window,0,1,nan,100.0
1976,0.16666666666666666,0.0,0.2857142857142857,5,30,window,2,6,50.0,16.67
1977,0,0,0,5,30,window,4,0,50.0,nan
1978,0.6666666666666666,0.0,0.8,5,30,window,4,3,50.0,66.67
1979,1.0,0.0,1.0,5,30,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,30,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,30,window,16,2,50.0,50.0
2008,0.794066317626527,0.3119836323442556,0.8788501026694046,5,25,window,768,573,50.0,93.72
1982,0.8333333333333334,0.0,0.9090909090909091,5,30,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,30,window,26,7,50.0,71.43
2009,0.664,0.19869494386720554,0.7843942505133471,5,25,window,836,625,50.0,92.48
1984,0.9,0.6666666666666666,0.9411764705882353,5,30,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,5,30,window,34,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,5,30,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,5,30,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,30,window,54,7,50.0,28.57
2010,0.6754850088183422,0.27323730601488216,0.7855477855477855,5,25,window,926,567,50.0,89.42
1989,0.8,0.0,0.888888888888889,5,30,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,5,30,window,70,8,50.0,100.0
1991,0.4166666666666667,-0.3476767476825577,0.588235294117647,5,30,window,70,24,50.0,54.17
2011,0.5882352941176471,0.2729195944419144,0.6995230524642291,5,25,window,1044,459,50.0,87.36
1992,0.782608695652174,0.4443938593811115,0.8571428571428572,5,30,window,92,23,50.0,69.57
2012,0.5542168674698795,0.31301660693978434,0.645933014354067,5,25,window,1154,332,50.0,84.34
1993,0.5666666666666667,0.11664236870396086,0.6486486486486486,5,30,window,106,30,50.0,53.33
1994,0.5,-0.09561828874675149,0.6222222222222222,5,30,window,134,34,50.0,58.82
1995,0.38095238095238093,-0.26967994498529685,0.4799999999999999,5,30,window,162,21,50.0,66.67
1996,0.5428571428571428,0.08852506597852129,0.5294117647058824,5,30,window,176,35,50.0,51.43
2013,0.6226415094339622,0.34860852812348675,0.7272727272727272,5,25,window,1246,318,50.0,87.42
1997,0.6590909090909091,0.27344899741289763,0.7272727272727273,5,30,window,210,44,50.0,61.36
1998,0.7192982456140351,0.20520632190918245,0.8181818181818183,5,30,window,244,57,50.0,75.44
1999,0.7,-0.1730129508244783,0.8235294117647058,5,30,window,270,50,50.0,88.0
2000,0.65,0.27185747308321606,0.7341772151898734,5,30,window,280,120,50.0,75.0
