year,accuracy,MCC,F1,window,batch_size,epochs,method,training_size,test_size,train_distribution,test_distribution
1996,0.37142857142857144,-0.2581699346405229,0.3888888888888889,10,16,20,window,140,35,50.0,51.43
1996,0.5714285714285714,0.14462030521243746,0.6511627906976745,15,16,20,window,154,35,50.0,51.43
1996,0.42857142857142855,-0.14002800840280097,0.375,20,16,20,window,158,35,50.0,51.43
1996,0.42857142857142855,-0.14002800840280097,0.375,25,16,20,window,158,35,50.0,51.43
1996,0.42857142857142855,-0.14002800840280097,0.375,30,16,20,window,158,35,50.0,51.43
1996,0.42857142857142855,-0.14002800840280097,0.375,35,16,20,window,158,35,50.0,51.43
1996,0.42857142857142855,-0.14002800840280097,0.375,40,16,20,window,158,35,50.0,51.43
1996,0.42857142857142855,-0.14002800840280097,0.375,45,16,20,window,158,35,50.0,51.43
1997,0.6590909090909091,0.30678599553894814,0.7058823529411765,5,16,20,window,118,44,50.0,61.36
1997,0.4772727272727273,-0.04667600280093366,0.5306122448979591,10,16,20,window,168,44,50.0,61.36
1997,0.6136363636363636,0.14291548761875736,0.711864406779661,15,16,20,window,186,44,50.0,61.36
1997,0.5,-0.010619158331935476,0.5599999999999999,20,16,20,window,192,44,50.0,61.36
1997,0.5,-0.010619158331935476,0.5599999999999999,25,16,20,window,192,44,50.0,61.36
1997,0.5,-0.010619158331935476,0.5599999999999999,30,16,20,window,192,44,50.0,61.36
1997,0.5,-0.010619158331935476,0.5599999999999999,35,16,20,window,192,44,50.0,61.36
1997,0.5,-0.010619158331935476,0.5599999999999999,40,16,20,window,192,44,50.0,61.36
1997,0.5,-0.010619158331935476,0.5599999999999999,45,16,20,window,192,44,50.0,61.36
1998,0.631578947368421,-0.13530348153381586,0.7692307692307692,5,16,20,window,138,57,50.0,75.44
1998,0.5964912280701754,0.11222486793827188,0.7012987012987012,10,16,20,window,190,57,50.0,75.44
1998,0.7192982456140351,0.16543808622328776,0.8222222222222222,15,16,20,window,218,57,50.0,75.44
1998,0.6491228070175439,0.13844450018688323,0.7560975609756098,20,16,20,window,226,57,50.0,75.44
1998,0.6491228070175439,0.13844450018688323,0.7560975609756098,25,16,20,window,226,57,50.0,75.44
1998,0.6491228070175439,0.13844450018688323,0.7560975609756098,30,16,20,window,226,57,50.0,75.44
1998,0.6491228070175439,0.13844450018688323,0.7560975609756098,35,16,20,window,226,57,50.0,75.44
1998,0.6491228070175439,0.13844450018688323,0.7560975609756098,40,16,20,window,226,57,50.0,75.44
1998,0.6491228070175439,0.13844450018688323,0.7560975609756098,45,16,20,window,226,57,50.0,75.44
1999,0.56,-0.050251890762960605,0.7027027027027029,5,16,20,window,138,50,50.0,88.0
1999,0.56,-0.14873555160002705,0.7105263157894737,10,16,20,window,208,50,50.0,88.0
1999,0.48,-0.10840727259799848,0.6285714285714286,15,16,20,window,242,50,50.0,88.0
1999,0.68,-0.1846372364689991,0.8095238095238095,20,16,20,window,252,50,50.0,88.0
1999,0.7,-0.04754330548804461,0.8192771084337349,25,16,20,window,254,50,50.0,88.0
1999,0.7,-0.04754330548804461,0.8192771084337349,30,16,20,window,254,50,50.0,88.0
1999,0.7,-0.04754330548804461,0.8192771084337349,35,16,20,window,254,50,50.0,88.0
1999,0.7,-0.04754330548804461,0.8192771084337349,40,16,20,window,254,50,50.0,88.0
1999,0.7,-0.04754330548804461,0.8192771084337349,45,16,20,window,254,50,50.0,88.0
2000,0.725,0.25849224211189076,0.8176795580110496,5,16,20,window,122,120,50.0,75.0
2000,0.5833333333333334,-0.04199605255658081,0.7126436781609196,10,16,20,window,214,120,50.0,75.0
2000,0.6416666666666667,0.15216863948950743,0.7455621301775147,15,16,20,window,250,120,50.0,75.0
2000,0.7083333333333334,0.17770466332772772,0.8108108108108109,20,16,20,window,264,120,50.0,75.0
2000,0.6,0.11785113019775792,0.7037037037037038,25,16,20,window,266,120,50.0,75.0
2000,0.6,0.11785113019775792,0.7037037037037038,30,16,20,window,266,120,50.0,75.0
2000,0.6,0.11785113019775792,0.7037037037037038,35,16,20,window,266,120,50.0,75.0
