year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
1982,0.8333333333333334,0.0,0.9090909090909091,35,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,35,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,35,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,35,window,34,4,50.0,75.0
1986,0.42857142857142855,-0.3535533905932738,0.6,35,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,35,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,35,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,35,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,35,window,70,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,35,window,70,24,50.0,54.17
1992,0.2608695652173913,-0.3386481059780782,0.19047619047619047,35,window,92,23,50.0,69.57
1993,0.5333333333333333,0.0,0.6956521739130436,35,window,106,30,50.0,53.33
1994,0.5882352941176471,0.09944903161976938,0.6956521739130435,35,window,134,34,50.0,58.82
1995,0.42857142857142855,-0.2857142857142857,0.5714285714285714,35,window,162,21,50.0,66.67
1996,0.45714285714285713,-0.12057967390241195,0.5777777777777777,35,window,176,35,50.0,51.43
1997,0.5681818181818182,-0.17315416054977326,0.7246376811594204,35,window,210,44,50.0,61.36
1998,0.7543859649122807,0.1126946786989845,0.8571428571428571,35,window,244,57,50.0,75.44
1999,0.82,-0.09329556203566844,0.9010989010989012,35,window,272,50,50.0,88.0
2000,0.75,0.1543033499620919,0.8514851485148515,35,window,284,120,50.0,75.0
2001,0.7557251908396947,0.3892180882361872,0.8476190476190477,35,window,344,131,50.0,68.7
2002,0.7898089171974523,0.24995222755940036,0.8754716981132076,35,window,426,157,50.0,78.34
2003,0.9064039408866995,0.3497374796148472,0.9493333333333333,35,window,494,203,50.0,90.64
2004,0.8995215311004785,0.33645071174597857,0.9460154241645246,35,window,530,209,50.0,88.52
2005,0.9096209912536443,0.18002434495323302,0.9520865533230293,35,window,576,343,50.0,92.13
2006,0.9347079037800687,0.32310400653513444,0.9656419529837251,35,window,628,582,50.0,93.81
2007,0.9104991394148021,0.333271963726882,0.9517625231910946,35,window,698,581,50.0,92.43
2008,0.893542757417103,0.24742085847557413,0.9423984891406988,35,window,786,573,50.0,93.72
2009,0.8816,0.26727039712053036,0.9350877192982457,35,window,858,625,50.0,92.48
2010,0.8289241622574955,0.2811630746756148,0.9011213047910297,35,window,952,567,50.0,89.42
2011,0.8061002178649237,0.28451899606356873,0.8848641655886157,35,window,1072,459,50.0,87.36
2012,0.7078313253012049,0.19694816946555518,0.8116504854368931,35,window,1178,332,50.0,84.34
2013,0.8081761006289309,0.46918892438905213,0.8801571709233792,35,window,1282,318,50.0,87.42
2014,0.7916666666666666,0.3772776389454069,0.8697916666666667,35,window,1360,240,50.0,85.0
2015,0.7522522522522522,0.32779169331788366,0.8414985590778097,35,window,1432,222,50.0,85.59
2016,0.7448979591836735,0.277039987342509,0.8366013071895425,35,window,1494,294,50.0,82.99
2017,0.868663594470046,0.44493426084106563,0.9238985313751669,35,window,1592,434,50.0,86.41
2018,0.8164893617021277,0.42041330395750176,0.8878048780487804,35,window,1708,376,50.0,86.97
